
==================================================
EROS 3.0 - FULL SUITE HANG DIAGNOSTIC
==================================================


Test                                                                                                 Status    
----                                                                                                 ------    
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\agents\test_agents.py                                  PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\alerts\test_ianp.py                                    PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\alpha_factory\test_iarf.py                             PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\api\test_api.py                                        PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\api\test_eap.py                                        PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\api_gateway\test_eag.py                                PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\attribution\test_ipaap.py                              PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\backtesting\test_ibrvp.py                              PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\capital\test_capital_models.py                         PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\cio\test_acio.py                                       PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\committee\test_committee.py                            PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\company\test_company_knowledge.py                      PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\company\test_ikl_layer.py                              PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\compliance\test_ircp.py                                PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\copilot\test_copilot.py                                PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\copilot_v2\test_copilot_v2.py                          PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\dashboard\test_dashboard.py                            PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\data_lake\test_idlfs.py                                PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\data_platform\test_idp.py                              PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\database\test_expanded_repositories.py                 PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\database\test_forecast_report_repositories.py          PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\database\test_production_db.py                         PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\database\test_sqlalchemy_production.py                 PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\decision\test_decision.py                              PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\events\test_s16_event_bus.py                           PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\execution\test_ieip.py                                 PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\forecast_system\test_ifis.py                           PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\forecasting\test_forecasting.py                        PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\frontend\test_frontend.py                              PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\fundamentals\test_canonical_models.py                  PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\fundamentals\test_events.py                            PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\fundamentals\test_models.py                            PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\fundamentals\test_normalizer.py                        PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\fundamentals\test_provider.py                          PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\fundamentals\test_service.py                           PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\governance\test_block20_governance.py                  PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\infrastructure\test_cnep.py                            PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\investors\test_investors.py                            PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\knowledge_graph\test_kg.py                             PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\learning\test_learning.py                              PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\market_data\test_block23_real_market.py                PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\market_data\test_block23c_provider.py                  PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\market_data\test_block23de_integrity.py                PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\market_data\test_block23fg_gate.py                     PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\market_data\test_block23h_confidence.py                PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\market_data\test_block23i_confidence_bounds.py         PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\market_data\test_block23j_trace.py                     PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\market_data\test_block23k_four_path.py                 PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\market_data\test_block23k_integration.py               PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\market_data\test_emdp.py                               PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\memory\test_ikme.py                                    PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\ml_platform\test_mlamp.py                              PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\moat\test_moat.py                                      PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\monitoring\test_block20_monitoring.py                  PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\monitoring\test_imop.py                                PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\portfolio\test_portfolio.py                            PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\portfolio_intelligence\test_portfolio_intelligence.py  PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\portfolio_lab\test_ipcsl.py                            PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\portfolio_manager\test_apm.py                          PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\portfolio_optimizer\test_ipoe.py                       PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block21a_health.py                     PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block21b_backtest.py                   PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block21c_e2e_lifecycle.py              PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block21d_degraded_modes.py             PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block21e_readiness.py                  PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block24_e2e_production.py              PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block25a_api_contract.py               PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block25b_api_validation.py             PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block25c_api_e2e.py                    PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block25d_integrity_chain.py            PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block26c_failure_safety.py             PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block26d_observability.py              PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block27_operations.py                  PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block28_worker.py                      PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block29_real_celery.py                 PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block30_real_worker.py                 PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block30c_real_worker_execution.py      PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block30d_live_redis_worker.py          PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block30g_infra.py                      PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block30k_real_celery_broker.py         TIMEOUT   
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block30l_live_worker.py                TIMEOUT   
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block30m_definitive_worker.py          TIMEOUT   
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block30n_strict_worker.py              TIMEOUT   
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block30o_separate_worker.py            FAIL/ERROR
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block30p_dedicated_worker.py           FAIL/ERROR
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block30q_diagnostic.py                 FAIL/ERROR
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block30r_diagnostic.py                 FAIL/ERROR
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block30s_permanent_worker.py           PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block31g_canonical_smoke.py            PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\production\test_block31l3c_failure_probe.py            FAIL/ERROR
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\providers\test_edpf.py                                 PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\providers\test_eepp_adapters.py                        PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\ratios\test_profitability_ratios.py                    PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\ratios\test_quality_engine.py                          PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\ratios\test_ratios.py                                  PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\ratios\test_sprint7_ratios.py                          PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\realtime\test_edcp_stream.py                           PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\realtime\test_realtime.py                              PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\reasoning\test_reasoning_engine.py                     PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\reasoning_graph\test_irg.py                            PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\report\test_report.py                                  PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\reporting\test_block19_report.py                       PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\reporting\test_reporting.py                            FAIL/ERROR
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\research\evidence\adapters\test_evidence_adapters.py   PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\research\evidence\graph\test_evidence_graph.py         PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\research\evidence\quality\test_evidence_quality.py     PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\research\evidence\reasoning\test_evidence_reasoning.py PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\research\evidence\test_evidence_engine.py              PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\research\test_block17_research.py                      PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\research\test_research_case.py                         PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\research_director\test_ard.py                          PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\risk_management\test_irmst.py                          PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\scoring\test_block10_fundamental_scoring.py            FAIL/ERROR
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\scoring\test_block11_historical_growth.py              PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\scoring\test_block12_unified_scoring.py                PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\scoring\test_block13_valuation_scoring.py              PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\scoring\test_block14_integration.py                    PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\scoring\test_block14_momentum.py                       PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\scoring\test_block15_integration.py                    PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\scoring\test_block15_risk.py                           PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\scoring\test_block16_decision.py                       PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\scoring\test_block16_e2e.py                            PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\scoring\test_block16_execution.py                      PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\scoring\test_block16_portfolio_context.py              PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\scoring\test_block16_position_sizing.py                PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\scoring\test_block18_orchestrator.py                   PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\scoring\test_scoring.py                                PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\security\test_auth.py                                  PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\services\test_valuation_service.py                     PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\simulation\test_imsdt.py                               PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\strategy_factory\test_isf.py                           PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\tasks\test_edcp.py                                     PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\tasks\test_edpp.py                                     PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\tasks\test_sprint19c_control_plane.py                  PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\tasks\test_sprint20a_observability.py                  PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\tasks\test_sprint20b_observability_details.py          PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\tasks\test_sprint20c_unified_observability.py          PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\test_event_contracts.py                                PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\test_pipeline.py                                       PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\validation\test_backtest.py                            PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\validation\test_block22_hardening.py                   PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\validation\test_block22c_stress.py                     PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\valuation\test_blended_valuation.py                    PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\valuation\test_dcf.py                                  PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\valuation\test_professional_dcf.py                     PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\valuation\test_relative.py                             PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\valuation\test_sotp.py                                 PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\wacc\test_wacc_service.py                              PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\watchlist_platform\test_iwip.py                        PASS      
D:\Users\User\Desktop\AI_STOCK_ANALYZER\tests\web_platform\test_ewp.py                               PASS      
